"FIPS","State","County","REDEMP_SNAPS12","REDEMP_SNAPS16","PCH_REDEMP_SNAPS_12_16","PCT_SNAP12","PCT_SNAP16","PCH_SNAP_12_16","PC_SNAPBEN10","PC_SNAPBEN15","PCH_PC_SNAPBEN_10_15","SNAP_PART_RATE08","SNAP_PART_RATE13","SNAP_OAPP09","SNAP_OAPP16","SNAP_CAP09","SNAP_CAP16","SNAP_BBCE09","SNAP_BBCE16","SNAP_REPORTSIMPLE09","SNAP_REPORTSIMPLE16","PCT_NSLP09","PCT_NSLP15","PCH_NSLP_09_15","PCT_FREE_LUNCH09","PCT_FREE_LUNCH14","PCT_REDUCED_LUNCH09","PCT_REDUCED_LUNCH14","PCT_SBP09","PCT_SBP15","PCH_SBP_09_15","PCT_SFSP09","PCT_SFSP15","PCH_SFSP_09_15","PC_WIC_REDEMP08","PC_WIC_REDEMP12","PCH_PC_WIC_REDEMP_08_12","REDEMP_WICS08","REDEMP_WICS12","PCH_REDEMP_WICS_08_12","PCT_WIC09","PCT_WIC15","PCH_WIC_09_15","PCT_CACFP09","PCT_CACFP15","PCH_CACFP_09_15","FDPIR12"
"31021","NE","Burt","51371.974177215","48386.42","-5.8116399555058","9.495620772361","9.1264506196791","-0.36917015268187","9.4050743657043","9.762953958365","3.805175575918","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","23.62012987013","29.620253164557","12.094155844156","7.9324894514768","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","8.716024","7.48783","-14.09122","15192.03","12465.37","-17.948","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31023","NE","Butler","","55449.673333333","","9.495620772361","9.1264506196791","-0.36917015268187","6.6805638276752","6.8896018427114","3.1290474940191","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","27.931960608773","28.440366972477","12.981199641898","12.018348623853","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31025","NE","Cass","102264.18051282","85489.490066225","-16.403290343184","9.495620772361","9.1264506196791","-0.36917015268187","7.8344756546888","7.7185283861615","-1.4799620758015","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","19.762845849802","23.875432525952","8.300395256917","8.9718240237271","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","6.072708","4.586974","-24.46576","31144.49","28821.1","-7.460031","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31027","NE","Cedar","28447.505806452","19980.111325301","-29.764980236791","9.495620772361","9.1264506196791","-0.36917015268187","5.1494954059346","5.3104575163399","3.1257841344947","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","22.849915682968","24.446337308348","13.743676222597","14.139693356048","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","7.36299","5.96099","-19.04118","15456.76","13033.71","-15.67633","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31029","NE","Chase","37693.93","38051.8825","0.94962902515073","9.495620772361","9.1264506196791","-0.36917015268187","6.0934610858968","6.0419802642582","-0.84485353911103","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","25.544267053701","26.766304347826","9.4339622641509","8.4239130434783","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31031","NE","Cherry","379121.40676056","312731.13833333","-17.511611648234","9.495620772361","9.1264506196791","-0.36917015268187","8.7957290390338","8.5920969863327","-2.315124213097","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","31.184056271981","34.658385093168","12.075029308324","13.540372670807","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31033","NE","Cheyenne","240532.91","215432.34447761","-10.435397602094","9.495620772361","9.1264506196791","-0.36917015268187","7.418150296726","7.2781278718656","-1.8875652185457","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","23.401688781665","22.837370242215","10.132689987937","9.5155709342561","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","13.82023","","","34104.87","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31035","NE","Clay","37126.996","36339.256119403","-2.1217441901225","9.495620772361","9.1264506196791","-0.36917015268187","8.7638846428207","9.0450536100988","3.2082686929061","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","31.558935361217","32.392026578073","10.798479087452","11.129568106312","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","6.554696","5.64511","-13.87685","8219.588","7238.16","-11.94011","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31037","NE","Colfax","68651.06","50565.554545455","-26.344102268116","9.495620772361","9.1264506196791","-0.36917015268187","8.8841337771438","8.8305979824811","-0.60260005089511","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","46.924428822496","53.666398066076","13.356766256591","12.771958098308","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31039","NE","Cuming","63949.502553191","51972.362222222","-18.729059418417","9.495620772361","9.1264506196791","-0.36917015268187","5.7446110077689","5.732018985031","-0.21919713485978","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","32.818791946309","37.160883280757","14.228187919463","13.186119873817","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","14.83682","14.60531","-1.56037","27311.62","33124.84","21.28482","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31041","NE","Custer","71440.449375","71760.612","0.44815315105232","9.495620772361","9.1264506196791","-0.36917015268187","6.1477283115458","6.2025550823921","0.89182163016762","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","24.80577136515","27.210884353741","13.928967813541","12.18820861678","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","19.64448","14.9804","-23.74245","26539.69","22984.21","-13.39684","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31043","NE","Dakota","527398.31406593","369837.03157895","-29.875196466269","9.495620772361","9.1264506196791","-0.36917015268187","15.043320955917","15.203817248427","1.0668940254607","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","46.424438787318","49.966465459423","12.612821106225","12.295998211491","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31045","NE","Dawes","882038.2475","510959.35232877","-42.070612722634","9.495620772361","9.1264506196791","-0.36917015268187","10.972554998911","11.106809718689","1.2235502104236","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","32.858273950911","33.938893476466","11.005542359462","12.71676300578","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31047","NE","Dawson","217629.24528634","195387.62473684","-10.219959417787","9.495620772361","9.1264506196791","-0.36917015268187","11.010167447724","11.190326413644","1.6362963304154","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","45.345058306251","46.910164176351","15.771363028102","12.654491791182","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","31.5559","33.56124","6.354895","112014.4","162570.7","45.13369","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31049","NE","Deuel","","","","9.495620772361","9.1264506196791","-0.36917015268187","9.0159711488923","9.0956340956341","0.88357588357588","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","30.368098159509","38.461538461538","12.269938650307","11.076923076923","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31051","NE","Dixon","","24554.36","","9.495620772361","9.1264506196791","-0.36917015268187","5.2777777777778","5.4557494098002","3.3720940804248","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","27.835051546392","24.039829302987","9.5074455899198","12.091038406828","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","","","","","","","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31053","NE","Dodge","282731.70909091","241827.14823529","-14.467624090393","9.495620772361","9.1264506196791","-0.36917015268187","13.295721929992","13.255716726651","-0.30088778594469","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","34.328859060403","42.028050943092","11.208053691275","13.332258584556","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","24.18244","24.39768","0.890093","86239.41","98748.27","14.5048","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
"31055","NE","Douglas","407732.29092805","293956.40955858","-27.904554998697","9.495620772361","9.1264506196791","-0.36917015268187","15.147164046334","14.213622546592","-6.1631437864348","66","79.024","1","1","0","0","0","1","1","1","13.551342827834","12.711650045618","-0.83969278221604","35.876106408999","40.762218536781","8.2046811241479","7.6789510590697","3.2282860194621","3.7088699128252","0.48058389336308","0.46381564483065","0.64218248171333","0.17836683688268","19.91402","18.79986","-5.594874","119267.7","113496.7","-4.838715","2.5372658309859","1.9829676034575","-0.55429822752841","2.286183102817","2.3593099847589","0.073126881941898","0"
